"id","description","name","state"
"__export__.hubi_module_option_1_edeee0e7","BL_VALORISE","BL_VALORISE","False"
"__export__.hubi_module_option_2_bdab5d47","EDI_FACTURE","EDI_FACTURE","True"
"__export__.hubi_module_option_3_ff0e70f9","EDI_TRANSPORTEUR","EDI_TRANSPORTEUR","False"
"__export__.hubi_module_option_5_436d9824","ETIQ_COULEUR_CLIENT","ETIQ_COULEUR_CLIENT","True"
"__export__.hubi_module_option_6_ee650146","ETIQ_DLC","ETIQ_DLC","True"
"__export__.hubi_module_option_7_4ae4ac7a","ETIQ_EAN_128","ETIQ_EAN_128","True"
"__export__.hubi_module_option_8_ffac31f4","ETIQ_FORMAT","ETIQ_FORMAT","False"
"__export__.hubi_module_option_9_09399ed7","ETIQ_LOT_AUTO","ETIQ_LOT_AUTO","True"
"__export__.hubi_module_option_10_c2b03dc2","ETIQ_MARENNE","ETIQ_MARENNE","False"
"__export__.hubi_module_option_11_f85c3326","ETIQ_MODE","ETIQ_MODE","False"
"__export__.hubi_module_option_12_2d50c8f1","ETIQ_PROD_EDITION","ETIQ_PROD_EDITION","True"
"__export__.hubi_module_option_14_070750d4","ETIQ_PROD_LIB_ESPAGNOL","ETIQ_PROD_LIB_ESPAGNOL","True"
"__export__.hubi_module_option_15_e780a8b9","ETIQ_PROD_LIB_LATIN","ETIQ_PROD_LIB_LATIN","True"
"__export__.hubi_module_option_13_7d2d3062","ETIQ_PROD_LIBELLE","ETIQ_PROD_LIBELLE","True"
"__export__.hubi_module_option_16_0b5b8f5b","ETIQ_TYPE","ETIQ_TYPE","False"
"__export__.hubi_module_option_4_d3efeec0","ETIQUETTE","ETIQUETTE","True"
"__export__.hubi_module_option_17_d7380508","EXPORT_COMPTA","EXPORT_COMPTA","True"
"__export__.hubi_module_option_18_57cbf879","FONCTION_DEPORTE","FONCTION_DEPORTE","True"
"__export__.hubi_module_option_19_5ee9aebe","GESTION_IFLS","GESTION_IFLS","True"
"__export__.hubi_module_option_20_0d11832c","PRIX_KG","PRIX_KG","True"
"__export__.hubi_module_option_21_64ccb34f","REF_FRS","REF_FRS","True"
"__export__.hubi_module_option_22_3b91828a","REGR_PROD_FAC","REGR_PROD_FAC","True"
"__export__.hubi_module_option_23_a83e6dd3","TARIF_CODE_INTERNE","TARIF_CODE_INTERNE","True"
"__export__.hubi_module_option_24_109ec882","TARIF_LIB_PROMO","TARIF_LIB_PROMO","True"
"__export__.hubi_module_option_25_1f0ad084","TARIF_OPTION","TARIF_OPTION","True"
"__export__.hubi_module_option_26_2f968ba7","TARIF_REF_CLIENT","TARIF_REF_CLIENT","True"
"__export__.hubi_module_option_27_04b32f50","TYPE_TIERS","TYPE_TIERS","True"
