"id","main_level","level_product","level_partner","name","weight","purchase_ok","sale_ok","reference","company_id/id","default_value"
"__export__.hubi_family_1","Article","Packaging","","1 Douzaine","0.0","True","True","DZ1","base.main_company","False"
"__export__.hubi_family_2","Article","Packaging","","2 Douzaines","0.0","True","True","DZ2","base.main_company","False"
"__export__.hubi_family_3","Article","Packaging","","3 Douzaines","0.0","True","True","DZ3","base.main_company","False"
"__export__.hubi_family_4","Article","Packaging","","4 Douzaines","0.0","True","True","DZ4","base.main_company","False"
"__export__.hubi_family_5","Article","Packaging","","1 Kg","0.0","True","True","KG1","base.main_company","False"
"__export__.hubi_family_6","Article","Packaging","","2 Kg","0.0","True","True","KG2","base.main_company","False"
"__export__.hubi_family_7","Article","Packaging","","3 Kg","0.0","True","True","KG3","base.main_company","False"
"__export__.hubi_family_8","Article","Packaging","","4 Kg","0.0","True","True","KG4","base.main_company","False"
"__export__.hubi_family_9","Article","Packaging","","5 Kg","0.0","True","True","KG5","base.main_company","False"
"__export__.hubi_family_10","Article","Packaging","","8 Kg","0.0","True","True","KG8","base.main_company","False"
"__export__.hubi_family_11","Article","Packaging","","10 Kg","0.0","True","True","KG10","base.main_company","False"
"__export__.hubi_family_12","Article","Packaging","","13 Kg","0.0","True","True","KG13","base.main_company","False"
"__export__.hubi_family_13","Article","Caliber","","No 4","0.0","True","True","4","base.main_company","False"
"__export__.hubi_family_14","Article","Caliber","","No 5","0.0","True","True","5","base.main_company","False"
"__export__.hubi_family_15","Article","Caliber","","No 2","0.0","True","True","2","base.main_company","False"
"__export__.hubi_family_16","Article","Caliber","","No 3","0.0","True","True","3","base.main_company","False"
"__export__.hubi_family_17","Article","Caliber","","Longue","0.0","True","True","L","base.main_company","False"
"__export__.hubi_family_18","Partenaire","","Type","Divers","0.0","True","True","","base.main_company","False"
"__export__.hubi_family_19","Partenaire","","Type","Particulier","0.0","True","True","","base.main_company","False"
"__export__.hubi_family_20","Partenaire","","Type","Régulier","0.0","True","True","","base.main_company","False"
"__export__.hubi_family_21","Partenaire","","Job","Poissonnier","0.0","True","True","","base.main_company","False"
"__export__.hubi_family_22","Partenaire","","Job","GMS","0.0","True","True","","base.main_company","False"
"__export__.hubi_family_23","Partenaire","","Job","Restaurant","0.0","True","True","","base.main_company","False"
"__export__.hubi_family_24","Article","Caliber","","Standard","0.0","True","True","STD","base.main_company","False"
